"method","rep","sd1","sd2","n1","delta","n2","p","width"
"Student",1,1,1,2,0,18,0.553047164045637,3.73552188140519
"Welch",1,1,1,2,0,18,0.0979123491940582,1.29491128868251
"Student",2,1,1,2,0,18,0.0509166469098571,3.19516241561779
"Welch",2,1,1,2,0,18,0.00108753677905685,1.42554978654228
"Student",3,1,1,2,0,18,0.0410689153062776,2.87355532159366
"Welch",3,1,1,2,0,18,0.334146415411233,18.7637391844924
"Student",4,1,1,2,0,18,0.179366212096167,3.03807587244196
"Welch",4,1,1,2,0,18,0.128905880754049,3.39866790130171
"Student",5,1,1,2,0,18,0.200582215629127,2.76148174526612
"Welch",5,1,1,2,0,18,0.572449156135286,24.8058058942217
"Student",6,1,1,2,0,18,0.594521355881412,2.98779188580857
"Welch",6,1,1,2,0,18,0.571962778457056,6.67200682726875
"Student",7,1,1,2,0,18,0.544378995319412,2.69227441045539
"Welch",7,1,1,2,0,18,0.767379933724562,22.9350935518699
"Student",8,1,1,2,0,18,0.622057917503086,2.50596481045568
"Welch",8,1,1,2,0,18,0.78861631554518,18.5452744345058
"Student",9,1,1,2,0,18,0.393906913751462,2.61799027465888
"Welch",9,1,1,2,0,18,0.476389373718111,8.3300686458099
"Student",10,1,1,2,0,18,0.445025652806898,2.59426814717194
"Welch",10,1,1,2,0,18,0.0444803130483773,0.937089732065518
"Student",11,1,1,2,0,18,0.548132974531312,3.37949689688968
"Welch",11,1,1,2,0,18,0.463442531358221,5.33472686131189
"Student",12,1,1,2,0,18,0.506662630797068,4.20308290306628
"Welch",12,1,1,2,0,18,0.702436140550491,27.9426859543261
"Student",13,1,1,2,0,18,0.800512688603874,2.69235524309775
"Welch",13,1,1,2,0,18,0.442648145819572,0.881577213715389
"Student",14,1,1,2,0,18,0.111371889731879,2.63347467095367
"Welch",14,1,1,2,0,18,0.400730180826213,15.9395015877382
"Student",15,1,1,2,0,18,0.0709141891642445,2.74688017477102
"Welch",15,1,1,2,0,18,0.013273570573591,1.6426485539027
"Student",16,1,1,2,0,18,0.59091356163083,2.58857222812613
"Welch",16,1,1,2,0,18,0.223099572024632,1.2029076027686
"Student",17,1,1,2,0,18,0.201988013325403,2.58158111278953
"Welch",17,1,1,2,0,18,0.534440210949118,19.7994655422813
"Student",18,1,1,2,0,18,0.351460136221931,3.26110237470528
"Welch",18,1,1,2,0,18,0.307283401469446,5.29890635723953
"Student",19,1,1,2,0,18,0.37676767992482,3.29876881356689
"Welch",19,1,1,2,0,18,0.44572525206175,9.62804519248572
"Student",20,1,1,2,0,18,0.522480500009906,3.63344349951698
"Welch",20,1,1,2,0,18,0.506275839940612,8.04443702426556
"Student",21,1,1,2,0,18,0.0722522743924454,2.76655423608502
"Welch",21,1,1,2,0,18,0.234042434585604,8.96228067800958
"Student",22,1,1,2,0,18,0.175218301646891,2.78422140213739
"Welch",22,1,1,2,0,18,0.0108372373349152,1.27779930922543
"Student",23,1,1,2,0,18,0.722541084477515,2.80049458752081
"Welch",23,1,1,2,0,18,0.727060485337385,7.84605935471716
"Student",24,1,1,2,0,18,0.0083170125708533,2.79568503024947
"Welch",24,1,1,2,0,18,0.181500293263679,11.9957898224984
"Student",25,1,1,2,0,18,0.869544160209624,3.40622987239907
"Welch",25,1,1,2,0,18,0.918835145443206,21.4224890296523
"Student",26,1,1,2,0,18,0.258285455072138,4.29792919845212
"Welch",26,1,1,2,0,18,0.43300408618652,17.7726951099936
"Student",27,1,1,2,0,18,0.0733600179796596,2.99338858346284
"Welch",27,1,1,2,0,18,0.000118442414935765,1.09933996484245
"Student",28,1,1,2,0,18,0.808835266733312,4.0649812168814
"Welch",28,1,1,2,0,18,0.467370845085379,1.34489826974633
"Student",29,1,1,2,0,18,0.550701016311356,3.00533536103917
"Welch",29,1,1,2,0,18,0.23846570183571,1.72036224301412
"Student",30,1,1,2,0,18,0.763477856528552,3.73402987541001
"Welch",30,1,1,2,0,18,0.773164363286451,11.1598502150466
"Student",31,1,1,2,0,18,0.386787977476625,2.60927513818091
"Welch",31,1,1,2,0,18,0.281862524177805,3.30115632220016
"Student",32,1,1,2,0,18,0.672020282045341,3.36756998833015
"Welch",32,1,1,2,0,18,0.641568721590387,7.3302835748296
"Student",33,1,1,2,0,18,0.505781827633739,3.17381000007079
"Welch",33,1,1,2,0,18,0.689373462989976,19.7186096941128
"Student",34,1,1,2,0,18,0.358584927927721,2.80765774189896
"Welch",34,1,1,2,0,18,0.423794865849309,7.86853360671719
"Student",35,1,1,2,0,18,0.0896446214466194,3.46586858133517
"Welch",35,1,1,2,0,18,0.0417862468997955,2.74455358948278
"Student",36,1,1,2,0,18,0.964230767905692,2.84990010657799
"Welch",36,1,1,2,0,18,0.912402068228399,1.27408435498179
"Student",37,1,1,2,0,18,0.141929960694043,3.27983717761645
"Welch",37,1,1,2,0,18,0.00735475945042156,1.5073072402923
"Student",38,1,1,2,0,18,0.644922333133193,2.68017523079659
"Welch",38,1,1,2,0,18,0.858049626340442,31.0405099421216
"Student",39,1,1,2,0,18,0.230612775622006,3.24955784903855
"Welch",39,1,1,2,0,18,0.610491060257972,31.2700567171778
"Student",40,1,1,2,0,18,0.790826403197853,3.1349306812781
"Welch",40,1,1,2,0,18,0.891488555566396,25.5260669553493
"Student",41,1,1,2,0,18,0.612526820400485,2.97982608872922
"Welch",41,1,1,2,0,18,0.691885104728088,12.2844863747527
"Student",42,1,1,2,0,18,0.161262535783001,3.37583444925133
"Welch",42,1,1,2,0,18,0.356876362939692,13.7966142391392
"Student",43,1,1,2,0,18,0.823591516218272,3.0740715915334
"Welch",43,1,1,2,0,18,0.905288075285135,23.852729360559
"Student",44,1,1,2,0,18,0.468162518598282,3.18907147513239
"Welch",44,1,1,2,0,18,0.269438028753277,2.83180561784131
"Student",45,1,1,2,0,18,0.916816042327805,3.41752457010882
"Welch",45,1,1,2,0,18,0.81100332132104,1.72785335538886
"Student",46,1,1,2,0,18,0.592392270308618,4.43281033430934
"Welch",46,1,1,2,0,18,0.672071994708298,17.7902378430681
"Student",47,1,1,2,0,18,0.991238654772663,3.98737661668417
"Welch",47,1,1,2,0,18,0.986180263495989,4.43616994185479
"Student",48,1,1,2,0,18,0.31152532324486,2.7293983388086
"Welch",48,1,1,2,0,18,0.0909440668482913,1.70548661530442
"Student",49,1,1,2,0,18,0.308002808095204,3.41650129427002
"Welch",49,1,1,2,0,18,0.642162296907449,30.437258490182
"Student",50,1,1,2,0,18,0.275346743756908,2.39310421039676
"Welch",50,1,1,2,0,18,0.473324037186883,11.2282051797616
"Student",51,1,1,2,0,18,0.629656539960531,3.42973995985618
"Welch",51,1,1,2,0,18,0.153477353116138,1.12974393949095
"Student",52,1,1,2,0,18,0.535816638373626,3.15138854365953
"Welch",52,1,1,2,0,18,0.261569874822799,2.09112894776145
"Student",53,1,1,2,0,18,0.710472070105679,3.16592776515
"Welch",53,1,1,2,0,18,0.631742495455684,4.98468126661389
"Student",54,1,1,2,0,18,0.894073017979022,2.92832445164379
"Welch",54,1,1,2,0,18,0.939185638192168,20.6703169882142
"Student",55,1,1,2,0,18,0.873871897798165,2.86479665644869
"Welch",55,1,1,2,0,18,0.91193990650941,15.1289971445889
"Student",56,1,1,2,0,18,0.926752480413222,3.55761588479765
"Welch",56,1,1,2,0,18,0.944546871642622,16.5386274223996
"Student",57,1,1,2,0,18,0.679905728586188,3.25152705382349
"Welch",57,1,1,2,0,18,0.575146530338243,4.48746155477636
"Student",58,1,1,2,0,18,0.981056431018132,2.99255503404013
"Welch",58,1,1,2,0,18,0.966741051027004,2.63311145016553
"Student",59,1,1,2,0,18,0.451120324338774,3.52901444250567
"Welch",59,1,1,2,0,18,0.0337192393129901,1.18258360371446
"Student",60,1,1,2,0,18,0.342921460129814,3.18331644977944
"Welch",60,1,1,2,0,18,0.522792917544078,15.0148759886622
"Student",61,1,1,2,0,18,0.291549009939097,3.67719236269177
"Welch",61,1,1,2,0,18,0.071342145586187,2.1629410030046
"Student",62,1,1,2,0,18,0.847613020749362,4.21505850996328
"Welch",62,1,1,2,0,18,0.874818670712428,17.0105763122634
"Student",63,1,1,2,0,18,0.748337729140939,3.02658860913034
"Welch",63,1,1,2,0,18,0.419534625427982,1.25669322262796
"Student",64,1,1,2,0,18,0.329906239646955,3.06407685661815
"Welch",64,1,1,2,0,18,0.188050526907654,2.97346067887646
"Student",65,1,1,2,0,18,0.725959535100523,4.03902074824797
"Welch",65,1,1,2,0,18,0.861426990302437,34.1798093076336
"Student",66,1,1,2,0,18,0.170442776110457,2.38975351000845
"Welch",66,1,1,2,0,18,0.112594934765717,2.48668766040807
"Student",67,1,1,2,0,18,0.968148743028461,3.71659331296257
"Welch",67,1,1,2,0,18,0.963566808344347,8.16810890302678
"Student",68,1,1,2,0,18,0.789847497027765,3.38901620301217
"Welch",68,1,1,2,0,18,0.48043070645562,1.3116040084775
"Student",69,1,1,2,0,18,0.490559897723998,2.80055328378631
"Welch",69,1,1,2,0,18,0.15296050529447,1.42128213216409
"Student",70,1,1,2,0,18,0.903711506288657,3.90255634611794
"Welch",70,1,1,2,0,18,0.809261279031495,2.58981473583523
"Student",71,1,1,2,0,18,0.0955336404229776,3.64876946141736
"Welch",71,1,1,2,0,18,0.364845188396937,20.2082523042281
"Student",72,1,1,2,0,18,0.771924333819224,3.84845352624679
"Welch",72,1,1,2,0,18,0.453626156813943,1.53930374939166
"Student",73,1,1,2,0,18,0.745302966514209,3.52115197107623
"Welch",73,1,1,2,0,18,0.829209096000778,19.7297896637049
"Student",74,1,1,2,0,18,0.733623657200758,3.33052553344331
"Welch",74,1,1,2,0,18,0.367357741114686,1.27632279822377
"Student",75,1,1,2,0,18,0.99984774974944,4.06059268535956
"Welch",75,1,1,2,0,18,0.999581170643074,1.50712998836714
"Student",76,1,1,2,0,18,0.631179579860249,3.08690231045671
"Welch",76,1,1,2,0,18,0.828968622114435,29.6245381670981
"Student",77,1,1,2,0,18,0.280920603692818,3.33476953733793
"Welch",77,1,1,2,0,18,0.601498019568068,26.8475557244735
"Student",78,1,1,2,0,18,0.910124118703736,2.99446006807114
"Welch",78,1,1,2,0,18,0.949182184014117,21.5902114300408
"Student",79,1,1,2,0,18,0.152553166502031,2.53591651602478
"Welch",79,1,1,2,0,18,0.376006095921375,11.7040412360414
"Student",80,1,1,2,0,18,0.908442296333761,2.4235595511787
"Welch",80,1,1,2,0,18,0.876321393112574,3.72613775540397
"Student",81,1,1,2,0,18,0.271867164378412,2.79042764686438
"Welch",81,1,1,2,0,18,0.458211760187402,12.3705335331531
"Student",82,1,1,2,0,18,0.658791625206724,2.78367363156143
"Welch",82,1,1,2,0,18,0.852258120013835,29.0954286267256
"Student",83,1,1,2,0,18,0.978009670658127,2.07825198154931
"Welch",83,1,1,2,0,18,0.982613607505106,9.00706662894858
"Student",84,1,1,2,0,18,0.0407449758670897,2.56439082846882
"Welch",84,1,1,2,0,18,0.184977716467393,7.59080513872723
"Student",85,1,1,2,0,18,0.938454931089212,3.20368243178161
"Welch",85,1,1,2,0,18,0.936681989326023,8.65448590437555
"Student",86,1,1,2,0,18,0.834261330752158,3.03652746216572
"Welch",86,1,1,2,0,18,0.525265033667012,0.996874110042137
"Student",87,1,1,2,0,18,0.483891867413893,3.06876420145292
"Welch",87,1,1,2,0,18,0.658619164688284,17.4718330664125
"Student",88,1,1,2,0,18,0.627368946288854,2.71607580211467
"Welch",88,1,1,2,0,18,0.178324745593297,0.961758964625546
"Student",89,1,1,2,0,18,0.751492687508249,3.15731494145458
"Welch",89,1,1,2,0,18,0.84416540924174,19.6219272382036
"Student",90,1,1,2,0,18,0.364390961516555,2.80708922998859
"Welch",90,1,1,2,0,18,0.547074663398295,13.811102395246
"Student",91,1,1,2,0,18,0.139981034728292,2.96724931490253
"Welch",91,1,1,2,0,18,0.00270052787220613,1.21347307911206
"Student",92,1,1,2,0,18,0.303160340236603,2.46574607886808
"Welch",92,1,1,2,0,18,0.410527524225539,7.87901432418943
"Student",93,1,1,2,0,18,0.520463448204236,3.24735042861515
"Welch",93,1,1,2,0,18,0.350878772528837,3.37500940114402
